2026-04-11 20:13:45 | INFO     | main | Logger 'main' iniciado — archivo: C:\Users\josem\Documents\ITM\Semestre10\Inteligencia Negocios\Taller2\etl_airbnb\logs\log_20260411_2013.txt
2026-04-11 20:13:45 | INFO     | main | ╔══════════════════════════════════════╗
2026-04-11 20:13:45 | INFO     | main | ║   ETL AIRBNB BUENOS AIRES — INICIO   ║
2026-04-11 20:13:45 | INFO     | main | ╚══════════════════════════════════════╝
2026-04-11 20:13:45 | INFO     | main | ── FASE 1: EXTRACCIÓN ──────────────────
2026-04-11 20:13:45 | INFO     | extraccion | Logger 'extraccion' iniciado — archivo: C:\Users\josem\Documents\ITM\Semestre10\Inteligencia Negocios\Taller2\etl_airbnb\logs\log_20260411_2013.txt
2026-04-11 20:13:45 | INFO     | extraccion | Extraccion inicializada — URI: mongodb://localhost:27017 | DB: airbnb_argentina
2026-04-11 20:13:45 | INFO     | extraccion | Intentando conectar a MongoDB...
2026-04-11 20:13:45 | INFO     | extraccion | Conexión exitosa a MongoDB — Base de datos: 'airbnb_argentina'
2026-04-11 20:13:45 | INFO     | extraccion | Colecciones disponibles: ['calendar', 'reviews', 'listings']
2026-04-11 20:13:45 | INFO     | extraccion | === Iniciando extracción completa de colecciones ===
2026-04-11 20:13:45 | INFO     | extraccion | Extrayendo colección: 'listings'...
2026-04-11 20:13:45 | INFO     | extraccion |   Aplicando límite de 50000 registros
2026-04-11 20:13:48 | INFO     | extraccion |   ✓ 'listings': 27,348 registros | 71 columnas
2026-04-11 20:13:48 | INFO     | extraccion | Extrayendo colección: 'reviews'...
2026-04-11 20:13:48 | INFO     | extraccion |   Aplicando límite de 50000 registros
2026-04-11 20:13:48 | INFO     | extraccion |   ✓ 'reviews': 50,000 registros | 6 columnas
2026-04-11 20:13:48 | INFO     | extraccion | Extrayendo colección: 'calendar'...
2026-04-11 20:13:48 | INFO     | extraccion |   Aplicando límite de 50000 registros
2026-04-11 20:13:48 | INFO     | extraccion |   ✓ 'calendar': 50,000 registros | 5 columnas
2026-04-11 20:13:48 | INFO     | extraccion | === Resumen de extracción ===
2026-04-11 20:13:48 | INFO     | extraccion |   listings    :   27,348 registros
2026-04-11 20:13:48 | INFO     | extraccion |   reviews     :   50,000 registros
2026-04-11 20:13:48 | INFO     | extraccion |   calendar    :   50,000 registros
2026-04-11 20:13:48 | INFO     | extraccion |   TOTAL       :  127,348 registros extraídos
2026-04-11 20:13:48 | INFO     | extraccion | Conexión a MongoDB cerrada correctamente.
2026-04-11 20:13:48 | INFO     | main | FASE 2: TRANSFORMACIÓN
2026-04-11 20:13:48 | INFO     | transformacion | Logger 'transformacion' iniciado — archivo: C:\Users\josem\Documents\ITM\Semestre10\Inteligencia Negocios\Taller2\etl_airbnb\logs\log_20260411_2013.txt
2026-04-11 20:13:48 | INFO     | transformacion | Transformacion inicializada.
2026-04-11 20:13:48 | INFO     | transformacion | ========================================
2026-04-11 20:13:48 | INFO     | transformacion |   INICIO DE TRANSFORMACIONES ETL
2026-04-11 20:13:48 | INFO     | transformacion | ========================================
2026-04-11 20:13:48 | INFO     | transformacion | === Transformando Listings ===
2026-04-11 20:13:48 | INFO     | transformacion |   Duplicados eliminados: 0
2026-04-11 20:13:48 | INFO     | transformacion |   Columnas eliminadas por >70% nulos: 1
2026-04-11 20:13:48 | WARNING  | transformacion | Columna 'price' no encontrada para normalización.
2026-04-11 20:13:48 | INFO     | transformacion |   Fechas convertidas en columna 'last_scraped'
2026-04-11 20:13:49 | ERROR    | transformacion | Error al transformar 'listings': The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
2026-04-11 20:13:49 | INFO     | transformacion | === Transformando Calendar ===
2026-04-11 20:13:49 | INFO     | transformacion |   Duplicados eliminados: 0
2026-04-11 20:13:49 | INFO     | transformacion |   Fechas convertidas en columna 'date'
2026-04-11 20:13:49 | INFO     | transformacion |   Variables temporales derivadas: anio, mes, dia, trimestre, nombre_mes, dia_semana
2026-04-11 20:13:49 | WARNING  | transformacion | Columna 'price' no encontrada para normalización.
2026-04-11 20:13:49 | INFO     | transformacion |   'available' convertido a booleano
2026-04-11 20:13:49 | INFO     | transformacion |   [calendar] Registros: 50,000 → 50,000 (eliminados: 0 | 0.0%)
2026-04-11 20:13:49 | INFO     | transformacion | === Transformando Reviews ===
2026-04-11 20:13:49 | INFO     | transformacion |   Duplicados eliminados: 0
2026-04-11 20:13:49 | INFO     | transformacion |   Fechas convertidas en columna 'date'
2026-04-11 20:13:49 | INFO     | transformacion |   Variables temporales derivadas: anio, mes, dia, trimestre, nombre_mes, dia_semana
2026-04-11 20:13:49 | INFO     | transformacion |   'comments': 0 nulos reemplazados por 'Sin comentario'
2026-04-11 20:13:49 | INFO     | transformacion |   [reviews] Registros: 50,000 → 50,000 (eliminados: 0 | 0.0%)
2026-04-11 20:13:49 | INFO     | transformacion | ========================================
2026-04-11 20:13:49 | INFO     | transformacion |   TRANSFORMACIONES COMPLETADAS
2026-04-11 20:13:49 | INFO     | transformacion | ========================================
2026-04-11 20:13:49 | INFO     | main | FASE 3: CARGA
2026-04-11 20:13:49 | INFO     | carga | Logger 'carga' iniciado — archivo: C:\Users\josem\Documents\ITM\Semestre10\Inteligencia Negocios\Taller2\etl_airbnb\logs\log_20260411_2013.txt
2026-04-11 20:13:49 | INFO     | carga | Carga inicializada — SQLite: data\airbnb_argentina.sqlite | XLSX dir: data
2026-04-11 20:13:49 | INFO     | carga | ========================================
2026-04-11 20:13:49 | INFO     | carga |   INICIO DE CARGA ETL
2026-04-11 20:13:49 | INFO     | carga | ========================================
